SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,GAME_CLOCK,PERIOD,DRIBBLES,shot_zone,game_stage,player_fg_pct,is_original,IS_CHOSEN,group_id,player_name
5.7,0.0,14.0,705.0,1,0,mid_range,very_early,1.0,True,1,0,lebron james
5.625949448858725,2.128417263632043,14.560603392260072,705.0,1,0,mid_range,very_early,0.9932719218502232,False,0,0,lebron james
25.55068156162359,1.1134339166039888,9.926052940953124,705.0,1,0,deep_three,very_early,0.9697528967114046,False,0,0,lebron james
26.83326866440013,0.5952233263604956,15.287345572006679,705.0,1,1,deep_three,very_early,0.9849672712591899,False,0,0,lebron james
3.5,1.9,18.2,551.0,3,3,restricted_area,mid_start,0.4166666666666667,True,1,1,lebron james
20.527339304087622,1.9769562839144326,17.428876014077563,551.0,3,3,long_range,mid_start,0.43660713289416997,False,0,1,lebron james
3.2821368208895434,4.721115677139412,23.728429888158793,551.0,3,2,restricted_area,mid_start,0.40325951852571,False,0,1,lebron james
25.429683948443817,6.878544761449318,18.197041723126254,551.0,3,5,deep_three,mid_start,0.4153289227282738,False,0,1,lebron james
5.8,2.5,22.5,110.0,1,1,mid_range,early,1.0,True,1,2,lebron james
11.679287176790645,3.7297001212854584,24.0,110.0,1,0,mid_range,early,0.9791097713098023,False,0,2,lebron james
6.3,2.3,16.6,694.0,4,8,mid_range,late,0.9375,True,1,3,lebron james
0.7730375017459643,3.5466089409670563,14.197802415621592,694.0,4,7,mid_range,late,0.9334488761616542,False,0,3,lebron james
8.55126778512489,0.21267653481475168,18.894405173376345,694.0,4,8,mid_range,late,0.961382537987086,False,0,3,lebron james
16.864315867637142,1.069442717887756,18.09604813055666,694.0,4,6,long_range,late,0.9534511827229835,False,0,3,lebron james
18.9,5.5,14.4,448.0,1,11,long_range,early,0.5,True,1,4,lebron james
1.6819581066929725,4.7778125893837835,14.126458798236873,448.0,1,11,restricted_area,early,0.47091108906413925,False,0,4,lebron james
31.015444028965057,7.9691029202576145,14.276452821470103,448.0,1,10,deep_three,early,0.4974006735766903,False,0,4,lebron james
24.31924244577773,2.3451540731460288,15.049183753110224,448.0,1,11,deep_three,early,0.48867001225672047,False,0,4,lebron james
5.0,1.1,20.8,37.0,2,2,mid_range,early,0.8333333333333334,True,1,5,lebron james
28.785134489725014,2.562348794945719,19.659431944988505,37.0,2,0,deep_three,early,0.8375837944838156,False,0,5,lebron james
6.77142576077693,2.6288263670187493,17.682587726132326,37.0,2,0,mid_range,early,0.8364390578982149,False,0,5,lebron james
26.6,2.7,17.3,38.0,3,6,deep_three,mid_end,0.16666666666666666,True,1,6,lebron james
21.570633783508214,2.092400239862449,13.918610048291555,38.0,3,4,deep_three,mid_end,0.1507877875754667,False,0,6,lebron james
24.06753787925478,0.24196021561478354,19.577259731865066,38.0,3,6,deep_three,mid_end,0.1942533774983866,False,0,6,lebron james
23.713565869738527,6.212096985152352,16.896042246035098,38.0,3,5,deep_three,mid_end,0.17172731412862297,False,0,6,lebron james
26.2,3.3,18.8,544.0,3,6,deep_three,mid_start,0.25,True,1,7,lebron james
2.9832103897295763,0.0,19.81419573971756,544.0,3,6,mid_range,mid_start,0.2427837143894283,False,0,7,lebron james
21.31419164872098,1.0971455764459321,16.493858718020423,544.0,3,6,deep_three,mid_start,0.22824984807360116,False,0,7,lebron james
